0.38710,0.38710,0.45161,0.34946,0.38710,0.31720,0.39785,0.34946
0.38710,0.38172,0.45161,0.35484,0.38710,0.26882,0.39785,0.31720
0.36559,0.38172,0.40323,0.41935,0.38172,0.37634,0.41398,0.37097
0.41935,0.43548,0.44624,0.43011,0.41398,0.41398,0.37097,0.38710
0.37634,0.44086,0.41398,0.34409,0.31720,0.26882,0.31720,0.30108
0.37634,0.39785,0.41398,0.35484,0.31720,0.24194,0.31720,0.26882
0.44624,0.39785,0.35484,0.34409,0.41935,0.33333,0.36559,0.30108
0.37634,0.37634,0.45699,0.46774,0.37634,0.37097,0.30108,0.30645
0.50538,0.50000,0.43011,0.43548,0.46774,0.47312,0.44624,0.44086
0.48387,0.48387,0.42473,0.41935,0.50538,0.49462,0.46237,0.46774
0.42473,0.44624,0.41935,0.40860,0.48387,0.47849,0.49462,0.46774
0.44624,0.46237,0.39247,0.39247,0.50538,0.50538,0.48387,0.51075
0.41398,0.42473,0.43548,0.44624,0.45161,0.45699,0.46237,0.46237
0.45699,0.45161,0.42473,0.45699,0.48387,0.50000,0.46237,0.44086
0.43011,0.40860,0.43011,0.41935,0.40323,0.41398,0.41935,0.40860
0.35484,0.34409,0.53226,0.55376,0.38172,0.37097,0.39247,0.38710
0.44624,0.45161,0.45161,0.45161,0.40323,0.39785,0.38172,0.38172
0.46774,0.46237,0.42473,0.42473,0.49462,0.48925,0.38710,0.37634
0.46237,0.46237,0.34946,0.34946,0.51613,0.51613,0.44624,0.45161
