0.48570,0.40950,0.55880,0.46080
0.48570,0.43810,0.55880,0.45100
0.54290,0.50480,0.51960,0.51960
0.60950,0.60000,0.56860,0.55880
0.45710,0.39050,0.50980,0.46080
0.45710,0.47620,0.50980,0.46080
0.48570,0.42860,0.47060,0.41180
0.54290,0.51430,0.48040,0.47060
0.56190,0.57140,0.53920,0.53920
0.59050,0.59050,0.56860,0.56860
0.54290,0.53330,0.57840,0.56860
0.64760,0.65710,0.67650,0.61760
0.69520,0.68570,0.70590,0.70590
0.62860,0.66670,0.63730,0.66670
0.55240,0.55240,0.51960,0.52940
0.64760,0.65710,0.58820,0.59800
0.52380,0.55240,0.53920,0.53920
0.62860,0.60000,0.60780,0.60780
0.60950,0.59050,0.59800,0.62750
