AlgoType,SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn30,AudioUrl,UniqueName
iforest,fs1,186,feature 'SpectralCentroid' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.78183,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,feature 'SpectralCentroid' (normal),42,1,2020,3,7,22,0,20200307_220000.WAV,0.65009,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_220000.WAV,yat1_20200307_220000
iforest,fs1,186,feature 'SpectralCentroid' (normal),96,1,2020,3,16,22,0,20200316_220000.WAV,0.6467,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_220000.WAV,yat1_20200316_220000
iforest,fs1,186,feature 'SpectralCrestFactor' (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.72117,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,feature 'SpectralCrestFactor' (normal),142,1,2020,3,24,14,0,20200324_140000.WAV,0.70037,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_140000.WAV,yat1_20200324_140000
iforest,fs1,186,feature 'SpectralCrestFactor' (normal),166,1,2020,3,28,14,0,20200328_140000.WAV,0.7,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200328_140000.WAV,yat1_20200328_140000
iforest,fs1,186,feature 'SpectralDecrease' (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,0.72212,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
iforest,fs1,186,feature 'SpectralDecrease' (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.71792,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,feature 'SpectralDecrease' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.67552,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,feature 'SpectralFlatness' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.77016,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,feature 'SpectralFlatness' (normal),42,1,2020,3,7,22,0,20200307_220000.WAV,0.64835,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_220000.WAV,yat1_20200307_220000
iforest,fs1,186,feature 'SpectralFlatness' (normal),144,1,2020,3,24,22,0,20200324_220000.WAV,0.64352,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_220000.WAV,yat1_20200324_220000
iforest,fs1,186,feature 'SpectralFlux' (normal),64,1,2020,3,11,14,0,20200311_140000.WAV,0.60466,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_140000.WAV,yat1_20200311_140000
iforest,fs1,186,feature 'SpectralFlux' (normal),83,1,2020,3,14,18,0,20200314_180000.WAV,0.58189,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200314_180000.WAV,yat1_20200314_180000
iforest,fs1,186,feature 'SpectralFlux' (normal),55,1,2020,3,10,2,0,20200310_020000.WAV,0.57517,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_020000.WAV,yat1_20200310_020000
iforest,fs1,186,feature 'SpectralRolloff' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.86535,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,feature 'SpectralRolloff' (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.66442,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,feature 'SpectralRolloff' (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,0.65989,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
